,store,sido,gungu,store_address
211,개봉점,서울특별시,구로구,서울특별시 구로구 고척로27길 58
212,신정점,서울특별시,양천구,서울특별시 양천구 신정로11길 62
213,화곡1점,서울특별시,강서구,서울특별시 강서구 가로공원로 233  101(화곡동
214,개봉2점,서울특별시,구로구,서울특별시 구로구 개봉동 357-22
215,한마을점,서울특별시,구로구,서울특별시 구로구 경인로 377-1 (고척동)
216,오류점,서울특별시,구로구,서울특별시 구로구 오류동 27-37
217,가좌점,인천광역시,서구,인천시 서구 가좌동 142-45
218,신현점,인천광역시,서구,인천시 서구 신현동 279-5
219,청라점,인천광역시,서구,인천 서구 연희동 763-19
220,하늘도시점,인천광역시,중구,인천광역시 중구 은하수로 351
221,연희점,인천광역시,서구,인천 서구 승학로 313-1
222,온수점,인천광역시,강화군,인천 강화군 강화읍 길상면 온수리 538-10
223,검단점,인천광역시,서구,인천 서구 검단로 487번길 5
224,마전점,인천광역시,서구,인천 서구 완정로 34번길 47
225,만수2점,인천광역시,남동구,인천 남동구 백범로 206번길 13(만수동 
226,만수1점,인천광역시,남동구,인천 남동구 만수동 932-3
227,만수3점,인천광역시,남동구,인천광역시 남동구 만수6동 1026-1
228,주안4점,인천광역시,남구,인천시 남구 주안4동 414-32
229,주안점,인천광역시,남구,인천 남구 주안8동 1528-14
230,구월3점,인천광역시,남동구,인천시 남동구 구월동 1359-20
231,연안점,인천광역시,중구,인천 중구 항동7가 58-4 라이프상가 1-107
232,용현점,인천광역시,남구,인천광역시 남구 용현동 342-2
233,송림3점,인천광역시,동구,인천시 동구 송림동 60-31
234,송림점,인천광역시,동구,인천 동구 송림2동 55-1
235,송도점,인천광역시,연수구,인천시 연수구 컨밴시아대로 42번길 12
236,동춘점,인천광역시,연수구,인천광역시 연수구 연수동 610-2
237,인천논현점,인천광역시,남동구,인천광역시 남동구 논고개로 86
238,병방점,인천광역시,계양구,인천시 계양구 병방동 92-26
239,계양점,인천광역시,계양구,인천시 계양구 용종동 214-1
240,계산점,인천광역시,계양구,인천시 계양구 계산동 932-11
241,효성점,인천광역시,계양구,인천시 계양구 효성동 192-1 (104호)
242,산곡점,인천광역시,부평구,인천시 부평구 산곡동 317-116
243,간석점,인천광역시,남동구,인천 남동구 간석동 113-1번지 102호
244,구월점,인천광역시,남동구,인천 남동구 구월동 1248-44
245,영흥점,인천광역시,웅진,인천시 웅진 영흥 내 6리 1691
246,진두점,인천광역시,옹진군,인천시 옹진군 영흥면 내리 8-200
247,부개점,인천광역시,부평구,인천시 부평구 부개동 140-22
248,삼산점,인천광역시,부평구,인천시 부평구 삼산동440-1삼산타운 1단지 B상가103호
249,부평점,인천광역시,부평구,인천시 부평구 부평동 904-16
250,주안2점,인천광역시,남구,인천광역시 남구 주안2동 550-23
251,동수역점,인천광역시,부평구,인천시 부평구 경인로 887
252,학익점,인천광역시,남구,인천시 남구 학익동665-3
253,연수점,인천광역시,연수구,인천 연수구 연수동 497-7
254,옥련청학점,인천광역시,연수구,인천 연수구 옥련동 367-7
255,육사점,서울특별시,노원구,서울시 노원구 공릉동 공릉사서함 77-5
